Measures,# students,#students meeting target,Target,% students met target,Description
S1M1T1,19.0,,0.5,0.555,Group avg > 50%
S1M1T2,19.0,17.0,1.0,0.8947368421052632,80% of students >= 30 percentile
S1M2T1,179.0,92.0,0.9,0.5139664804469274,recall most steps in design/algorithm
S1M2T2,179.0,142.0,0.8,0.7932960893854749,recall all steps in design/algorithm
S1M3T1,315.0,220.0,0.8,0.6984126984126984,score 7-10
S1M3T2,315.0,147.0,0.5,0.4666666666666667,score 8-10
S1M14T1,98.0,78.0,0.7,0.7959183673469388,good or excellent   in improvement
S2M4T1,,,1.0,,improve or achieve 5 on slides
S2M4T2,,,1.0,,improve or achieve 5 on style
S2M5T1,,,0.8,,10+ on combined score
S2M6T1,7.0,7.0,0.8,1.0,score 7-10
S2M7T1,23.0,17.0,0.8,0.7391304347826086,presentations 80-100%
S2M14T1,40.0,25.0,0.7,0.625,good or excellent   in improvement
S3M8T1,49.0,40.0,0.9,0.8163265306122449,contribute fairly to projects
S3M9T1,,,0.9,,contribute with score > 85%
S3M10T1,,,0.8,,contribute 30-50% with partner
S3M14T1,17.0,12.0,0.7,0.7058823529411765,good or excellent in improbement
S4M11T1,21.0,17.0,0.75,0.8095238095238095,score 4-5
S4M12T1,,,0.75,,score 4-5
S4M14T1,52.0,37.0,0.7,0.7115384615384616,good or excellent   in improvement
